age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,city,countDetails,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
25,1,3381,100,1,1,0,1,0,579,0.810000002,0,0,0,0,0,0,1,0
25,1,3941,131,0,1,1,0,1,94,0.540000021,0,0,0,0,80,0,1,0
21,0,13355,458,0,0,1,0,0,751,0,0,0,0,0,83.30000305,0,0,0
21,4,14019,664,0,1,0,0,0,94,0.579999983,0,0,0,0,77.5,0,1,0
20,23,12981,412,1,1,1,0,0,353,0.920000017,0,0,0,0,42,0,1,0
24,1,7915,116,1,1,1,0,0,1068,0.879999995,0,0,0,0,413,0,1,1
24,5,1859,65,1,0,0,0,0,286,1,0,0,0,0,491,0,1,0
23,26,17117,415,1,1,1,0,0,1098,0.959999979,0,0,0,0,171,0,1,0
20,2,917,16,1,1,0,0,0,993,0.959999979,0,0,0,0,111,0,1,0
21,7,1134,41,0,1,0,0,0,836,1,0,0,0,0,90.69999695,0,1,1
22,6,9855,397,1,1,0,0,0,305,0.730000019,0,0,0,0,339,0,1,1
19,6,5729,318,0,0,1,0,0,1105,0.620000005,0,0,0,0,174,0,1,0
19,3,6836,178,1,1,0,0,0,641,0.920000017,0,0,0,0,70.40000153,0,1,1
21,1,513,25,0,1,0,0,0,585,0.879999995,0,0,0,0,70,0,1,0
20,2,1336,53,1,1,1,0,1,1004,0.730000019,0,0,0,0,127,0,0,0
21,1,10339,236,1,0,0,0,1,587,0.810000002,0,0,0,0,152,0,1,0
19,6,7183,144,1,1,1,0,1,938,0.850000024,0,0,0,0,148,0,1,0
22,9,11288,497,0,1,0,0,1,91,0.959999979,0,0,0,0,144,0,1,0
20,5,30989,672,0,0,0,0,1,72,0.230000004,0,0,0,0,135,0,1,0
21,12,1267,79,0,0,0,0,1,899,1,0,0,0,0,308,0,1,1
25,5,19684,929,1,0,1,0,0,945,0.920000017,0,0,0,0,315,0,1,1
19,4,9263,632,0,1,0,0,1,673,0.689999998,0,0,0,0,141,0,1,0
20,6,16104,393,1,1,0,0,1,330,0.850000024,0,0,0,0,187,0,1,1
22,10,6187,270,0,1,0,0,0,988,0.920000017,0,0,0,0,177,0,0,0
21,26,13355,307,0,1,0,0,1,1105,1,1,0,0,1,180,0,0,0
23,5,20861,764,0,1,0,0,0,1105,0.460000008,0,0,0,0,175,0,1,0
20,2,10467,187,1,0,1,0,0,579,0.230000004,0,0,0,0,141,0,1,1
22,15,6030,309,1,1,0,0,1,435,0.879999995,0,0,0,0,178,0,1,0
25,6,1289,55,0,1,0,0,0,873,0.879999995,0,0,0,0,66.40000153,0,1,0
21,8,5621,166,0,1,0,0,0,376,0.850000024,0,0,0,0,106,0,1,1
25,8,7055,200,0,0,0,0,0,73,0.850000024,0,0,0,0,136,0,0,0
23,3,3629,79,1,1,1,0,0,969,0.310000002,0,0,0,0,361,0,1,1
25,6,10296,267,0,0,1,0,1,674,0.850000024,0,0,0,0,146,0,1,0
23,1,1770,95,0,1,1,1,0,593,0.5,0,0,0,0,400,0,0,1
22,2,7689,347,0,1,0,0,0,528,0,0,0,0,0,5.300000191,0,0,0
19,1,3865,77,0,1,0,0,0,961,0.579999983,0,0,0,0,141,0,1,1
25,12,19098,557,1,1,1,0,1,1105,0.620000005,0,0,0,0,173,0,1,0
22,6,5470,137,1,0,0,0,0,737,0.540000021,0,0,0,0,135,0,1,1
19,6,7581,105,1,1,1,0,1,94,0.579999983,0,0,0,0,107,0,1,0
21,5,6613,132,1,1,1,0,0,673,0.079999998,0,0,0,0,141,0,1,0
20,18,5103,319,1,1,1,0,1,1072,0.850000024,0,0,0,0,121,0,1,0
21,5,3352,44,0,0,1,0,0,1077,0.579999983,0,0,0,0,155,0,1,0
20,5,2412,104,1,0,0,0,0,200,0.959999979,0,0,0,0,57.20000076,0,0,1
22,4,6445,211,1,1,0,0,0,1089,0.230000004,0,0,0,0,27.5,0,1,0
20,29,20567,1133,0,1,0,0,0,156,0.730000019,0,0,0,0,82.09999847,0,0,1
25,7,15664,270,0,1,0,0,1,957,0,0,0,0,0,79.19999695,0,1,1
25,1,25835,1315,0,1,0,0,0,1105,0,0,0,0,0,175,0,0,0
22,3,5003,263,1,1,1,0,1,835,0.879999995,0,0,0,0,166,0,0,1
23,4,26955,1167,1,1,1,0,0,732,0.959999979,0,0,0,0,428,0,0,1
24,19,15869,1340,0,1,0,0,0,1105,0.920000017,0,0,0,0,178,0,1,1
23,2,4196,661,1,1,0,0,1,510,0.5,0,0,0,0,0,0,1,1
21,6,554,50,1,0,0,0,0,160,0.730000019,0,0,0,0,33.79999924,0,1,0
19,7,15904,697,0,1,0,0,0,1106,0.850000024,0,0,0,0,0,0,1,1
26,7,10123,301,1,0,0,0,0,482,0.579999983,0,0,0,0,418,0,1,1
20,5,12064,659,1,1,1,0,1,1045,0.540000021,0,0,0,0,200,0,1,0
25,6,4033,27,1,1,0,0,0,592,0.769999981,0,0,0,0,402,0,0,1
22,12,13923,987,1,1,1,0,0,345,0,0,0,0,0,233,0,0,1
22,8,4938,426,1,1,0,0,0,502,0.920000017,0,0,0,0,19.20000076,0,0,0
24,6,11405,184,1,1,1,0,1,533,0.579999983,0,0,0,0,61.90000153,0,1,0
19,7,9405,259,1,1,1,0,0,330,0.620000005,0,0,0,0,186,0,1,0
24,5,10133,347,1,1,1,0,0,766,0.730000019,0,0,0,0,306,0,1,1
22,8,38703,1623,1,1,1,0,0,70,1,0,0,0,0,306,0,1,1
