age,name,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
21,Cheyenne,16,5450,298,TRUE,FALSE,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Liestal,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,136,FALSE,TRUE,FALSE
19,Miss Fortune,1,29903,2146,TRUE,TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,0.150000006,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,FALSE
24,ShellyBee,11,14526,1116,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Grabs,1,FALSE,FALSE,FALSE,FALSE,FALSE,185,FALSE,TRUE,FALSE
24,giftzwärg,15,3769,276,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Visperterminen,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,TRUE
20,lindaa:),6,7662,189,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Eggingen,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,186,FALSE,TRUE,FALSE
19,Ramona,6,7571,396,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Wikon,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,131,FALSE,TRUE,FALSE
19,babuska,13,7842,142,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Winterthur,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,195,FALSE,TRUE,TRUE
23,lisa,4,3959,188,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Stuttgart,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,315,FALSE,TRUE,TRUE
23,Michelle,1,1797,40,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Lahr,0.879999995,FALSE,FALSE,FALSE,FALSE,FALSE,222,FALSE,TRUE,FALSE
20,Olivia,6,30847,1861,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zürich,1,FALSE,FALSE,FALSE,FALSE,FALSE,173,FALSE,TRUE,TRUE
23,ela,2,12671,338,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Karlsruhe,0.150000006,FALSE,FALSE,FALSE,FALSE,FALSE,306,FALSE,FALSE,TRUE
20,lariih,11,7465,247,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bern,0.810000002,FALSE,FALSE,FALSE,FALSE,FALSE,112,FALSE,TRUE,FALSE
